대학명,계열,학점,토익,토스,오픽,자격증,수상경험,인턴,해외경험,봉사활동,기업명,부서
서울시립대학교,기계/자동차/조선공학,3.92 / 4.5,860,없음,IM,0개,0회,0회,0회,0회,㈜만도,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.83 / 4.5,없음,L6,없음,0개,0회,0회,0회,0회,현대위아,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.85 / 4.5,855,L6,없음,0개,0회,0회,0회,0회,LG이노텍㈜,생산관리
영남대학교,기계/자동차/조선공학,3.6 / 4.5,860,L6,IH,0개,0회,1회,0회,1회,(주)다스,연구·실험·기술
경북대학교,기계/자동차/조선공학,3.88 / 4.5,없음,L5,없음,1개,0회,0회,0회,0회,삼성전자㈜,생산관리
국민대학교,기계/자동차/조선공학,3.88 / 4.5,960,없음,AL,1개,1회,0회,1회,0회,두산인프라코어㈜,기술영업(IT)
인하대학교,기계/자동차/조선공학,3.76 / 4.5,820,L6,없음,0개,0회,1회,0회,0회,삼성전기㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.82 / 4.5,780,L6,없음,0개,1회,1회,0회,0회,LG전자㈜,기계·기구설계
한밭대학교,기계/자동차/조선공학,4.23 / 4.5,760,없음,IM,2개,0회,0회,0회,0회,LG전자㈜,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.12 / 4.5,810,L6,없음,2개,1회,1회,1회,2회,SK하이닉스,공정엔지니어
아주대학교,기계/자동차/조선공학,3.57 / 4.5,780,L6,없음,1개,0회,1회,0회,0회,롯데케미칼㈜,기계설비
전남대학교(광주),기계/자동차/조선공학,3.54 / 4.5,없음,L6,없음,1개,3회,0회,3회,2회,㈜한화건설,플랜트
영남대학교,기계/자동차/조선공학,3.6 / 4.5,860,L6,없음,0개,0회,1회,0회,0회,현대로템㈜,생산관리
아주대학교,기계/자동차/조선공학,3.57 / 4.5,780,L6,없음,1개,0회,1회,0회,0회,하이트진로㈜,기계설비
